Student_ID,Age,Prior_Knowledge,Current_Mastery,Quiz_Score,Assignment_Score,Study_Time_Hours,Difficulty_Preference,Learning_Speed,Interest_Level,Concept_Completed,Concept_Current,Concept_Next,Mastery_Growth,Completion_Time,Learning_Objective
S00561,16,0.312,0.581,39.8,55.9,11.5,Easy,Average,3,File I/O,Error Handling,OOP,0.587,7.9,Deep Learning
S00562,24,0.728,0.772,67.7,79.2,15.5,Easy,Average,3,Pandas,Data Visualization,Statistics,0.688,8.8,Deep Learning
S00563,32,0.348,0.343,40.0,40.1,4.8,Easy,Slow,1,Dictionaries,File I/O,Error Handling,0.368,14.8,Deep Learning
S00564,31,0.285,0.6,56.2,47.9,16.2,Medium,Slow,1,Error Handling,OOP,Data Structures,0.686,12.6,Deep Learning
S00565,24,0.326,0.719,76.8,83.7,18.1,Medium,Average,5,Algorithms,Complexity Analysis,NumPy,0.807,8.9,Deep Learning
S00566,16,0.371,0.391,43.0,43.0,6.7,Medium,Slow,2,Lists & Collections,Dictionaries,File I/O,0.456,11.4,Deep Learning
S00567,16,0.13,0.484,45.0,48.9,7.3,Easy,Average,2,Loops,Functions,Strings,0.526,6.6,Deep Learning
S00568,19,0.466,0.699,66.8,78.5,18.1,Easy,Fast,4,Data Structures,Recursion,Algorithms,0.711,4.2,Deep Learning
S00569,16,0.192,0.497,61.2,64.9,8.2,Easy,Slow,4,Loops,Functions,Strings,0.475,10.0,Deep Learning
S00570,16,0.578,0.799,85.6,78.2,17.8,Medium,Average,2,Data Visualization,Statistics,ML Basics,0.741,10.6,Deep Learning
S00571,33,0.21,0.381,29.3,36.6,5.0,Hard,Average,5,Conditionals,Loops,Functions,0.277,10.9,Deep Learning
S00572,26,0.245,0.485,40.3,61.3,8.6,Medium,Slow,4,Conditionals,Loops,Functions,0.474,8.1,Deep Learning
S00573,24,0.247,0.162,19.0,29.5,3.1,Medium,Fast,2,Conditionals,Loops,Functions,0.378,6.6,Deep Learning
S00574,16,0.529,0.588,50.8,77.3,13.9,Easy,Slow,5,Recursion,Algorithms,Complexity Analysis,0.619,16.1,Deep Learning
S00575,29,0.157,0.235,17.9,19.0,1.2,Easy,Slow,3,Operators,Conditionals,Loops,0.304,11.6,Deep Learning
S00576,33,0.497,0.816,85.7,93.0,21.8,Medium,Average,2,Recursion,Algorithms,Complexity Analysis,0.921,9.7,Deep Learning
S00577,23,0.474,0.435,48.9,29.5,11.0,Easy,Average,5,Lists & Collections,Dictionaries,File I/O,0.532,9.8,Deep Learning
S00578,30,0.287,0.335,38.3,33.5,2.9,Medium,Average,4,Variables,Data Types,Operators,0.271,6.7,Deep Learning
S00579,19,0.696,0.637,63.2,73.8,20.2,Medium,Average,2,Data Visualization,Statistics,ML Basics,0.909,6.5,Deep Learning
S00580,34,0.059,0.436,29.1,52.9,17.0,Medium,Average,1,Lists & Collections,Dictionaries,File I/O,0.732,5.5,Deep Learning
S00581,22,0.72,0.662,65.7,55.6,14.4,Easy,Average,4,Complexity Analysis,NumPy,Pandas,0.617,10.7,Deep Learning
S00582,24,0.519,0.49,33.3,40.0,8.6,Easy,Average,1,Lists & Collections,Dictionaries,File I/O,0.368,12.0,Deep Learning
S00583,16,0.301,0.409,32.8,51.5,1.6,Hard,Average,4,Variables,Data Types,Operators,0.326,7.3,Deep Learning
S00584,20,0.011,0.331,28.7,27.9,5.6,Hard,Fast,1,Operators,Conditionals,Loops,0.292,7.0,Deep Learning
S00585,36,0.644,0.596,67.8,66.5,4.2,Medium,Slow,4,Dictionaries,File I/O,Error Handling,0.518,10.7,Deep Learning
S00586,32,0.157,0.647,67.6,58.1,2.8,Hard,Average,2,Data Types,Operators,Conditionals,0.11,8.9,Deep Learning
S00587,18,0.542,0.584,53.8,66.7,4.1,Hard,Average,4,Conditionals,Loops,Functions,0.347,11.1,Deep Learning
S00588,16,0.744,0.75,70.3,68.4,14.9,Medium,Slow,4,NumPy,Pandas,Data Visualization,0.738,9.9,Deep Learning
S00589,35,0.397,0.332,23.7,30.8,1.5,Medium,Slow,4,Strings,Lists & Collections,Dictionaries,0.372,11.3,Deep Learning
S00590,23,0.73,0.497,53.5,57.2,3.8,Easy,Average,3,Dictionaries,File I/O,Error Handling,0.354,10.7,Deep Learning
S00591,29,0.874,0.538,49.9,53.5,3.8,Hard,Average,5,OOP,Data Structures,Recursion,0.466,13.2,Deep Learning
S00592,24,0.176,0.455,52.3,29.4,6.5,Medium,Average,3,Functions,Strings,Lists & Collections,0.463,9.3,Deep Learning
S00593,27,0.297,0.448,56.5,39.2,8.0,Medium,Fast,5,Dictionaries,File I/O,Error Handling,0.634,4.6,Deep Learning
S00594,30,0.374,0.409,42.3,36.3,3.6,Medium,Fast,4,Loops,Functions,Strings,0.5,5.5,Deep Learning
S00595,23,0.444,0.379,36.0,45.8,5.3,Hard,Fast,5,Lists & Collections,Dictionaries,File I/O,0.396,4.4,Deep Learning
S00596,16,0.432,0.753,68.6,72.5,20.5,Hard,Fast,4,Algorithms,Complexity Analysis,NumPy,1.0,4.4,Deep Learning
S00597,22,0.218,0.55,51.5,51.4,13.3,Medium,Slow,4,Lists & Collections,Dictionaries,File I/O,0.701,11.0,Deep Learning
S00598,18,0.549,0.292,32.5,29.3,2.8,Medium,Average,3,Functions,Strings,Lists & Collections,0.372,9.6,Deep Learning
S00599,23,0.333,0.766,85.2,71.5,12.6,Easy,Slow,1,Recursion,Algorithms,Complexity Analysis,0.512,16.7,Deep Learning
S00600,18,0.108,0.516,40.8,33.3,4.2,Medium,Average,1,Operators,Conditionals,Loops,0.32,7.5,Deep Learning
S00601,23,0.51,0.429,33.4,47.6,5.9,Hard,Average,4,Functions,Strings,Lists & Collections,0.265,12.0,Deep Learning
S00602,24,0.281,0.428,42.8,52.3,4.3,Medium,Slow,1,Loops,Functions,Strings,0.281,14.4,Deep Learning
S00603,23,0.22,0.396,32.5,37.5,7.7,Medium,Slow,5,Functions,Strings,Lists & Collections,0.566,9.8,Deep Learning
S00604,20,0.622,0.345,35.6,29.5,5.0,Hard,Average,3,File I/O,Error Handling,OOP,0.325,11.8,Deep Learning
S00605,21,0.523,0.428,41.7,35.9,5.4,Medium,Average,1,Dictionaries,File I/O,Error Handling,0.394,10.2,Deep Learning
S00606,20,0.691,0.495,47.0,44.3,3.1,Medium,Average,3,Functions,Strings,Lists & Collections,0.49,6.4,Deep Learning
S00607,16,0.058,0.596,54.9,58.1,16.9,Medium,Fast,5,File I/O,Error Handling,OOP,0.935,4.8,Deep Learning
S00608,29,0.464,0.584,77.2,44.5,12.1,Easy,Fast,1,Error Handling,OOP,Data Structures,0.578,4.7,Deep Learning
S00609,24,0.823,0.805,78.9,66.3,20.3,Medium,Slow,4,NumPy,Pandas,Data Visualization,0.99,6.2,Deep Learning
S00610,17,0.721,0.486,51.8,41.1,3.2,Easy,Average,4,OOP,Data Structures,Recursion,0.258,15.2,Deep Learning
S00611,28,0.261,0.259,19.0,32.1,2.8,Hard,Fast,2,Loops,Functions,Strings,0.172,6.7,Deep Learning
S00612,21,0.569,0.349,30.9,27.4,2.8,Hard,Fast,1,Error Handling,OOP,Data Structures,0.206,10.4,Deep Learning
S00613,22,0.527,0.536,65.8,40.7,5.4,Easy,Fast,5,Functions,Strings,Lists & Collections,0.575,4.5,Deep Learning
S00614,16,0.183,0.433,61.3,50.3,8.4,Medium,Slow,2,Conditionals,Loops,Functions,0.463,9.8,Deep Learning
S00615,23,0.336,0.407,28.9,47.0,3.4,Hard,Fast,4,Loops,Functions,Strings,0.266,9.7,Deep Learning
S00616,30,0.283,0.671,74.8,69.9,22.5,Medium,Fast,1,Recursion,Algorithms,Complexity Analysis,0.822,8.3,Deep Learning
S00617,22,0.23,0.454,52.0,44.7,8.0,Medium,Fast,1,Strings,Lists & Collections,Dictionaries,0.414,6.0,Deep Learning
S00618,16,0.601,0.767,79.5,69.8,6.3,Easy,Fast,4,Functions,Strings,Lists & Collections,0.455,5.4,Deep Learning
S00619,20,0.181,0.315,35.6,25.4,3.8,Medium,Slow,3,Conditionals,Loops,Functions,0.356,11.6,Deep Learning
S00620,16,0.256,0.385,44.9,20.8,2.5,Easy,Slow,1,Python Basics,Variables,Data Types,0.284,9.1,Deep Learning
S00621,29,0.308,0.626,70.1,62.1,17.4,Hard,Average,2,OOP,Data Structures,Recursion,0.771,9.5,Deep Learning
S00622,20,0.258,0.455,50.1,53.1,7.0,Hard,Average,1,Functions,Strings,Lists & Collections,0.319,10.6,Deep Learning
S00623,28,0.367,0.434,45.0,30.9,2.3,Hard,Fast,3,Operators,Conditionals,Loops,0.238,6.4,Deep Learning
S00624,25,0.409,0.491,50.3,49.1,0.5,Easy,Slow,3,Loops,Functions,Strings,0.313,13.0,Deep Learning
S00625,19,0.23,0.323,23.3,40.9,5.7,Hard,Slow,5,Functions,Strings,Lists & Collections,0.304,13.9,Deep Learning
S00626,33,0.606,0.637,72.3,63.3,12.0,Medium,Fast,5,NumPy,Pandas,Data Visualization,0.698,4.9,Deep Learning
S00627,20,0.399,0.672,63.3,71.0,11.6,Easy,Average,5,Error Handling,OOP,Data Structures,0.651,5.9,Deep Learning
S00628,32,0.35,0.456,49.7,55.0,4.1,Medium,Slow,3,Lists & Collections,Dictionaries,File I/O,0.433,17.7,Deep Learning
S00629,20,0.329,0.713,73.8,69.4,21.4,Medium,Slow,2,Algorithms,Complexity Analysis,NumPy,0.828,11.1,Deep Learning
S00630,16,0.564,0.719,66.2,53.5,13.1,Medium,Average,5,Data Visualization,Statistics,ML Basics,0.73,8.2,Deep Learning
S00631,16,0.574,0.73,69.5,68.5,3.8,Hard,Slow,3,Strings,Lists & Collections,Dictionaries,0.314,15.7,Deep Learning
S00632,30,0.468,0.589,64.0,64.7,1.6,Easy,Slow,1,Variables,Data Types,Operators,0.209,13.6,Deep Learning
S00633,19,0.585,0.224,25.2,5.4,0.5,Medium,Average,1,Conditionals,Loops,Functions,0.27,11.6,Deep Learning
S00634,21,0.441,0.664,61.8,83.3,11.4,Medium,Average,2,Functions,Strings,Lists & Collections,0.573,7.1,Deep Learning
S00635,25,0.49,0.395,30.7,39.4,1.3,Easy,Fast,1,Lists & Collections,Dictionaries,File I/O,0.137,11.5,Deep Learning
S00636,16,0.508,0.407,41.5,45.8,8.8,Medium,Average,1,Dictionaries,File I/O,Error Handling,0.515,10.1,Deep Learning
S00637,23,0.4,0.259,23.2,22.8,3.7,Medium,Average,3,Dictionaries,File I/O,Error Handling,0.434,9.4,Deep Learning
S00638,22,0.403,0.521,47.2,58.8,7.9,Hard,Slow,5,File I/O,Error Handling,OOP,0.568,11.9,Deep Learning
S00639,17,0.43,0.644,65.4,47.4,11.0,Easy,Average,4,Strings,Lists & Collections,Dictionaries,0.63,7.2,Deep Learning
S00640,27,0.254,0.414,28.8,32.0,2.6,Medium,Slow,4,Operators,Conditionals,Loops,0.249,12.9,Deep Learning
S00641,33,0.773,0.689,70.9,63.3,10.4,Easy,Slow,3,NumPy,Pandas,Data Visualization,0.531,13.5,Deep Learning
S00642,35,0.2,0.539,43.8,53.4,2.3,Easy,Average,2,Operators,Conditionals,Loops,0.378,6.6,Deep Learning
S00643,22,0.282,0.696,83.5,61.1,10.1,Medium,Fast,2,Strings,Lists & Collections,Dictionaries,0.554,6.1,Deep Learning
S00644,28,0.319,0.368,36.4,43.8,1.8,Hard,Fast,1,Functions,Strings,Lists & Collections,0.148,6.3,Deep Learning
S00645,27,0.384,0.591,64.7,68.3,7.0,Medium,Slow,2,Conditionals,Loops,Functions,0.293,15.9,Deep Learning
S00646,27,0.913,0.618,60.0,58.8,6.1,Medium,Average,1,OOP,Data Structures,Recursion,0.432,14.2,Deep Learning
S00647,30,0.375,0.362,36.2,44.8,6.8,Easy,Average,1,Lists & Collections,Dictionaries,File I/O,0.415,11.5,Deep Learning
S00648,25,0.449,0.49,56.8,47.3,4.9,Easy,Average,4,Strings,Lists & Collections,Dictionaries,0.453,9.1,Deep Learning
S00649,16,0.323,0.472,41.5,40.9,1.7,Medium,Slow,5,Variables,Data Types,Operators,0.294,11.0,Deep Learning
S00650,17,0.295,0.362,39.8,39.1,4.9,Hard,Slow,2,Conditionals,Loops,Functions,0.304,14.0,Deep Learning
S00651,36,0.404,0.336,22.1,43.0,3.3,Medium,Average,3,Error Handling,OOP,Data Structures,0.287,11.1,Deep Learning
S00652,27,0.569,0.739,76.3,66.7,14.4,Hard,Average,1,NumPy,Pandas,Data Visualization,0.488,10.1,Deep Learning
S00653,18,0.667,0.686,80.7,82.4,29.2,Easy,Slow,3,Pandas,Data Visualization,Statistics,1.0,8.6,Deep Learning
S00654,16,0.326,0.303,29.4,32.2,1.4,Easy,Slow,3,Data Types,Operators,Conditionals,0.288,10.9,Deep Learning
S00655,24,0.704,0.531,57.3,73.8,6.4,Easy,Fast,1,Dictionaries,File I/O,Error Handling,0.303,8.1,Deep Learning
S00656,19,0.155,0.652,59.6,72.4,27.7,Medium,Average,2,Dictionaries,File I/O,Error Handling,1.0,4.0,Deep Learning
S00657,20,0.326,0.481,48.9,50.3,7.0,Easy,Average,5,Strings,Lists & Collections,Dictionaries,0.579,8.0,Deep Learning
S00658,25,0.391,0.837,89.1,85.6,30.0,Easy,Average,4,Error Handling,OOP,Data Structures,1.0,7.9,Deep Learning
S00659,25,0.513,0.467,45.2,47.0,7.2,Easy,Slow,1,File I/O,Error Handling,OOP,0.364,15.3,Deep Learning
S00660,23,0.192,0.409,48.4,43.9,6.4,Easy,Slow,4,Conditionals,Loops,Functions,0.429,10.4,Deep Learning
S00661,29,0.171,0.758,71.7,75.3,30.0,Hard,Slow,2,Lists & Collections,Dictionaries,File I/O,1.0,6.7,Deep Learning
S00662,30,0.135,0.318,30.7,35.1,6.2,Hard,Fast,5,Data Types,Operators,Conditionals,0.368,3.7,Deep Learning
S00663,24,0.076,0.297,18.3,32.1,7.5,Medium,Slow,2,Operators,Conditionals,Loops,0.517,10.2,Deep Learning
S00664,28,0.684,0.789,78.5,89.4,16.2,Medium,Average,3,NumPy,Pandas,Data Visualization,0.649,8.1,Deep Learning
S00665,23,0.214,0.71,65.7,58.4,22.8,Medium,Average,3,Data Structures,Recursion,Algorithms,0.961,7.4,Deep Learning
S00666,16,0.386,0.54,52.1,66.4,4.6,Medium,Fast,4,Conditionals,Loops,Functions,0.501,4.0,Deep Learning
S00667,16,0.696,0.443,48.2,51.7,5.4,Medium,Average,5,OOP,Data Structures,Recursion,0.511,10.8,Deep Learning
S00668,25,0.677,0.518,57.4,47.0,6.2,Hard,Average,1,Error Handling,OOP,Data Structures,0.331,9.4,Deep Learning
S00669,26,0.393,0.415,39.0,49.0,3.2,Easy,Average,2,Conditionals,Loops,Functions,0.401,9.9,Deep Learning
S00670,16,0.712,0.684,63.4,72.1,13.0,Medium,Average,5,Complexity Analysis,NumPy,Pandas,0.716,5.5,Deep Learning
S00671,29,0.536,0.295,17.4,24.6,4.3,Hard,Average,5,File I/O,Error Handling,OOP,0.362,10.7,Deep Learning
S00672,16,0.432,0.635,75.3,63.9,20.3,Hard,Fast,3,Data Structures,Recursion,Algorithms,0.875,8.0,Deep Learning
S00673,23,0.692,0.771,73.2,94.7,26.9,Hard,Average,5,NumPy,Pandas,Data Visualization,1.0,5.3,Deep Learning
S00674,19,0.098,0.459,49.2,49.3,13.6,Medium,Average,3,Lists & Collections,Dictionaries,File I/O,0.692,8.9,Deep Learning
S00675,16,0.404,0.432,48.3,54.0,5.6,Easy,Average,5,Lists & Collections,Dictionaries,File I/O,0.427,7.7,Deep Learning
S00676,16,0.158,0.295,30.3,35.1,4.5,Easy,Slow,2,Loops,Functions,Strings,0.441,12.6,Deep Learning
S00677,24,0.836,0.413,32.3,34.2,3.9,Medium,Average,2,Dictionaries,File I/O,Error Handling,0.409,10.1,Deep Learning
S00678,19,0.513,0.571,64.4,69.1,9.0,Easy,Average,5,Lists & Collections,Dictionaries,File I/O,0.56,8.0,Deep Learning
S00679,30,0.422,0.603,57.0,57.3,9.2,Medium,Slow,2,Strings,Lists & Collections,Dictionaries,0.432,13.6,Deep Learning
S00680,20,0.505,0.591,56.2,62.9,3.9,Hard,Slow,3,Strings,Lists & Collections,Dictionaries,0.273,12.0,Deep Learning
S00681,22,0.54,0.889,94.0,90.6,26.0,Medium,Slow,1,Pandas,Data Visualization,Statistics,1.0,10.3,Deep Learning
S00682,28,0.228,0.459,47.0,58.0,1.8,Medium,Slow,2,Data Types,Operators,Conditionals,0.229,9.1,Deep Learning
S00683,26,0.742,0.612,54.9,59.7,3.2,Medium,Average,4,Lists & Collections,Dictionaries,File I/O,0.382,9.7,Deep Learning
S00684,25,0.12,0.233,27.1,25.7,3.2,Easy,Fast,4,Conditionals,Loops,Functions,0.433,5.1,Deep Learning
S00685,18,0.514,0.431,55.3,32.6,4.8,Easy,Slow,4,Dictionaries,File I/O,Error Handling,0.418,16.0,Deep Learning
S00686,19,0.576,0.833,79.4,97.1,16.8,Medium,Slow,4,Complexity Analysis,NumPy,Pandas,0.876,10.2,Deep Learning
S00687,18,0.194,0.448,47.9,50.2,10.5,Hard,Average,2,Dictionaries,File I/O,Error Handling,0.561,7.0,Deep Learning
S00688,25,0.222,0.706,68.4,75.2,18.0,Medium,Average,1,Data Structures,Recursion,Algorithms,0.772,6.8,Deep Learning
S00689,18,0.714,0.628,70.2,67.1,15.1,Easy,Average,1,Recursion,Algorithms,Complexity Analysis,0.484,11.2,Deep Learning
S00690,42,0.558,0.624,64.5,74.9,13.1,Medium,Fast,2,Recursion,Algorithms,Complexity Analysis,0.633,6.0,Deep Learning
S00691,24,0.067,0.384,40.1,26.8,6.1,Hard,Average,3,Conditionals,Loops,Functions,0.385,4.7,Deep Learning
S00692,20,0.46,0.666,52.8,67.5,15.3,Easy,Average,3,Dictionaries,File I/O,Error Handling,0.696,9.1,Deep Learning
S00693,23,0.37,0.419,37.7,53.2,7.5,Medium,Fast,5,Strings,Lists & Collections,Dictionaries,0.493,6.3,Deep Learning
S00694,33,0.31,0.633,71.2,58.4,12.4,Hard,Average,3,Dictionaries,File I/O,Error Handling,0.48,8.5,Deep Learning
S00695,27,0.454,0.569,62.5,67.3,9.5,Hard,Fast,5,File I/O,Error Handling,OOP,0.572,4.6,Deep Learning
S00696,19,0.32,0.565,69.1,47.7,2.8,Hard,Slow,3,Strings,Lists & Collections,Dictionaries,0.246,12.1,Deep Learning
S00697,16,0.188,0.6,57.6,43.1,11.7,Hard,Fast,4,Loops,Functions,Strings,0.526,3.1,Deep Learning
S00698,33,0.174,0.491,45.7,52.3,7.9,Easy,Average,4,Loops,Functions,Strings,0.579,7.7,Deep Learning
S00699,26,0.308,0.417,45.2,54.5,8.4,Medium,Fast,2,Strings,Lists & Collections,Dictionaries,0.394,7.4,Deep Learning
S00700,16,0.357,0.475,44.9,39.2,12.5,Easy,Slow,5,Dictionaries,File I/O,Error Handling,0.588,13.6,Deep Learning
S00701,24,0.362,0.342,33.2,53.6,2.5,Easy,Average,2,Conditionals,Loops,Functions,0.427,6.4,Deep Learning
S00702,18,0.236,0.739,68.0,86.0,24.6,Medium,Average,5,Recursion,Algorithms,Complexity Analysis,1.0,6.6,Deep Learning
S00703,17,0.683,0.638,58.0,57.3,5.0,Easy,Average,3,File I/O,Error Handling,OOP,0.31,9.6,Deep Learning
S00704,25,0.29,0.525,44.5,55.7,7.1,Easy,Average,1,Strings,Lists & Collections,Dictionaries,0.444,8.0,Deep Learning
S00705,19,0.751,0.56,43.0,52.8,0.5,Easy,Fast,5,Strings,Lists & Collections,Dictionaries,0.311,8.9,Deep Learning
S00706,26,0.084,0.307,40.4,27.2,3.5,Easy,Average,2,Python Basics,Variables,Data Types,0.346,6.6,Deep Learning
S00707,37,0.482,0.618,56.0,71.6,7.5,Easy,Slow,1,Strings,Lists & Collections,Dictionaries,0.451,10.6,Deep Learning
S00708,16,0.156,0.646,69.8,67.1,15.5,Medium,Average,4,File I/O,Error Handling,OOP,0.753,5.8,Deep Learning
S00709,34,0.562,0.415,39.2,36.9,8.4,Easy,Average,2,Error Handling,OOP,Data Structures,0.468,12.7,Deep Learning
S00710,16,0.67,0.815,79.8,92.0,14.3,Medium,Fast,3,NumPy,Pandas,Data Visualization,0.767,4.1,Deep Learning
S00711,33,0.379,0.334,47.0,27.2,2.2,Easy,Slow,1,Functions,Strings,Lists & Collections,0.17,17.8,Deep Learning
S00712,33,0.485,0.382,31.5,29.2,0.9,Medium,Slow,2,Functions,Strings,Lists & Collections,0.342,15.3,Deep Learning
S00713,23,0.348,0.346,39.4,35.4,1.8,Easy,Slow,5,Conditionals,Loops,Functions,0.345,12.8,Deep Learning
S00714,28,0.498,0.427,53.5,41.2,3.7,Easy,Fast,2,Loops,Functions,Strings,0.36,5.8,Deep Learning
S00715,30,0.576,0.969,90.4,100.0,23.7,Hard,Fast,5,Pandas,Data Visualization,Statistics,1.0,8.1,Deep Learning
S00716,19,0.794,0.581,57.1,58.1,7.5,Hard,Fast,3,Error Handling,OOP,Data Structures,0.451,8.6,Deep Learning
S00717,25,0.128,0.511,50.7,78.4,17.0,Easy,Average,5,Dictionaries,File I/O,Error Handling,0.792,5.7,Deep Learning
S00718,26,0.122,0.28,45.0,29.7,9.5,Medium,Slow,2,Data Types,Operators,Conditionals,0.46,9.4,Deep Learning
S00719,26,0.716,0.835,83.1,69.4,18.3,Medium,Fast,1,Pandas,Data Visualization,Statistics,0.753,5.4,Deep Learning
S00720,25,0.379,0.549,54.0,61.9,6.7,Medium,Fast,1,Loops,Functions,Strings,0.462,6.7,Deep Learning
S00721,23,0.321,0.491,44.0,49.6,10.7,Easy,Average,3,Lists & Collections,Dictionaries,File I/O,0.556,7.5,Deep Learning
S00722,22,0.752,0.534,68.3,57.0,5.4,Medium,Fast,1,File I/O,Error Handling,OOP,0.374,7.4,Deep Learning
S00723,26,0.755,0.595,48.2,60.7,8.0,Easy,Slow,1,OOP,Data Structures,Recursion,0.284,20.2,Deep Learning
S00724,37,0.209,0.544,52.2,64.2,15.8,Easy,Slow,5,Data Structures,Recursion,Algorithms,0.649,14.1,Deep Learning
S00725,28,0.124,0.664,65.7,71.3,18.2,Easy,Slow,3,Loops,Functions,Strings,0.79,6.6,Deep Learning
S00726,26,0.014,0.386,35.7,34.8,5.3,Easy,Average,2,Variables,Data Types,Operators,0.355,4.6,Deep Learning
S00727,24,0.338,0.486,60.9,64.6,14.2,Easy,Fast,4,Lists & Collections,Dictionaries,File I/O,0.62,4.7,Deep Learning
S00728,22,0.869,0.573,58.0,36.9,9.3,Easy,Slow,4,Recursion,Algorithms,Complexity Analysis,0.442,16.4,Deep Learning
S00729,22,0.614,0.342,38.9,23.1,5.9,Easy,Fast,4,Lists & Collections,Dictionaries,File I/O,0.422,5.9,Deep Learning
S00730,21,0.423,0.495,51.3,51.5,9.8,Easy,Fast,2,Error Handling,OOP,Data Structures,0.544,6.0,Deep Learning
S00731,28,0.419,0.598,71.7,67.0,5.4,Hard,Fast,4,Strings,Lists & Collections,Dictionaries,0.357,8.1,Deep Learning
S00732,22,0.47,0.532,42.2,42.4,2.9,Medium,Slow,1,File I/O,Error Handling,OOP,0.285,19.1,Deep Learning
S00733,25,0.58,0.641,60.2,54.2,12.7,Hard,Fast,4,File I/O,Error Handling,OOP,0.67,6.2,Deep Learning
S00734,27,0.488,0.603,61.7,66.6,5.8,Easy,Slow,2,Lists & Collections,Dictionaries,File I/O,0.349,14.9,Deep Learning
S00735,24,0.541,0.551,48.9,54.8,7.7,Hard,Slow,4,Error Handling,OOP,Data Structures,0.403,14.8,Deep Learning
S00736,26,0.496,0.385,43.1,44.9,6.4,Easy,Fast,1,Lists & Collections,Dictionaries,File I/O,0.332,6.2,Deep Learning
S00737,16,0.439,0.352,28.7,23.4,2.0,Medium,Average,1,Strings,Lists & Collections,Dictionaries,0.311,8.7,Deep Learning
S00738,16,0.38,0.349,43.1,27.7,3.7,Medium,Average,4,Functions,Strings,Lists & Collections,0.433,7.3,Deep Learning
S00739,24,0.23,0.558,55.0,52.9,8.0,Medium,Average,4,Functions,Strings,Lists & Collections,0.536,6.9,Deep Learning
S00740,16,0.185,0.276,21.7,28.7,9.6,Hard,Fast,5,Dictionaries,File I/O,Error Handling,0.632,6.5,Deep Learning
S00741,18,0.592,0.414,49.4,41.0,3.6,Medium,Fast,2,Lists & Collections,Dictionaries,File I/O,0.426,7.9,Deep Learning
S00742,23,0.453,0.325,18.5,27.4,3.3,Medium,Fast,5,Dictionaries,File I/O,Error Handling,0.532,5.0,Deep Learning
S00743,19,0.23,0.482,35.7,38.1,18.2,Medium,Slow,3,OOP,Data Structures,Recursion,0.731,9.6,Deep Learning
S00744,17,0.102,0.395,58.9,47.7,6.6,Easy,Slow,5,Operators,Conditionals,Loops,0.465,11.2,Deep Learning
S00745,19,0.652,0.805,87.6,79.9,14.4,Medium,Slow,5,Error Handling,OOP,Data Structures,0.755,12.6,Deep Learning
S00746,23,0.413,0.527,54.8,64.5,9.7,Easy,Average,1,Data Structures,Recursion,Algorithms,0.369,13.6,Deep Learning
S00747,23,0.319,0.757,84.5,79.1,16.9,Medium,Slow,1,File I/O,Error Handling,OOP,0.713,10.7,Deep Learning
S00748,26,0.219,0.853,92.4,97.2,23.2,Easy,Fast,4,Lists & Collections,Dictionaries,File I/O,0.998,5.0,Deep Learning
S00749,25,0.602,0.918,88.6,92.0,18.6,Medium,Average,4,Complexity Analysis,NumPy,Pandas,0.833,8.7,Deep Learning
S00750,29,0.391,0.526,45.7,75.6,8.5,Hard,Fast,2,Dictionaries,File I/O,Error Handling,0.433,7.4,Deep Learning
S00751,27,0.309,0.434,53.1,80.7,10.1,Easy,Slow,3,Dictionaries,File I/O,Error Handling,0.58,13.6,Deep Learning
S00752,27,0.39,0.307,26.0,25.1,2.4,Easy,Average,3,Conditionals,Loops,Functions,0.275,9.0,Deep Learning
S00753,17,0.704,0.747,75.2,75.4,22.9,Medium,Slow,2,Statistics,ML Basics,Neural Networks,0.84,11.6,Deep Learning
S00754,31,0.611,0.447,52.9,52.3,2.8,Hard,Average,3,Dictionaries,File I/O,Error Handling,0.293,9.4,Deep Learning
S00755,28,0.205,0.505,47.6,44.8,10.5,Easy,Average,4,Lists & Collections,Dictionaries,File I/O,0.517,9.6,Deep Learning
S00756,24,0.432,0.304,27.4,31.2,2.3,Medium,Average,2,Conditionals,Loops,Functions,0.278,11.3,Deep Learning
S00757,22,0.168,0.432,42.9,31.8,6.7,Easy,Fast,3,Conditionals,Loops,Functions,0.477,2.4,Deep Learning
S00758,20,0.128,0.57,61.7,57.0,18.5,Easy,Slow,2,Dictionaries,File I/O,Error Handling,0.757,9.8,Deep Learning
S00759,20,0.546,0.325,48.8,33.2,1.7,Hard,Average,5,Loops,Functions,Strings,0.28,8.9,Deep Learning
S00760,20,0.638,0.487,48.0,36.4,5.5,Easy,Slow,5,Lists & Collections,Dictionaries,File I/O,0.506,12.1,Deep Learning
S00761,22,0.199,0.554,57.4,41.5,21.3,Medium,Average,4,Error Handling,OOP,Data Structures,0.863,6.9,Deep Learning
S00762,17,0.358,0.689,75.7,61.7,13.5,Medium,Average,1,File I/O,Error Handling,OOP,0.609,6.8,Deep Learning
S00763,20,0.102,0.304,34.1,29.2,7.0,Easy,Average,5,Conditionals,Loops,Functions,0.534,9.0,Deep Learning
S00764,31,0.094,0.406,28.7,37.8,9.4,Easy,Average,5,Functions,Strings,Lists & Collections,0.579,4.8,Deep Learning
S00765,28,0.641,0.577,47.0,63.7,7.4,Medium,Fast,1,File I/O,Error Handling,OOP,0.451,10.7,Deep Learning
S00766,21,0.414,0.412,31.3,53.3,3.3,Medium,Slow,4,Loops,Functions,Strings,0.357,10.4,Deep Learning
